Synthetic Asset,Real ETF,Start Date,End Date,Years,Synthetic CAGR,Real ETF CAGR,CAGR Gap,Synthetic MaxDD,Real ETF MaxDD,End Gap,Max Abs Gap,Daily Return Corr,Annualized Tracking Error
QQQ_2X,QLD,2006-06-21,2026-07-01,19.988095238095237,0.23496228579479994,0.2562348224407438,-0.021272536645943863,-0.8308520118311133,-0.83128870032374,-0.28920290519396186,0.28920290519396186,0.9959553502468197,0.039675064105893595
QQQ_3X,TQQQ,2010-02-11,2026-07-01,16.349206349206348,0.39559934891015036,0.4371620126163889,-0.04156266370623851,-0.8192435990081897,-0.8165984736660451,-0.38108666971781413,0.3820754408321313,0.9989394332131265,0.029521714146399362
SMH_2X,USD,2007-02-01,2026-07-01,19.376984126984127,0.27459389335322504,0.29471821136180476,-0.020124318008579722,-0.9048702693535536,-0.8863448230804358,-0.2618065735546844,0.5814668851345801,0.9666296462875363,0.16149537799781835
SPY_2X,SSO,2006-06-21,2026-07-01,19.988095238095237,0.13896674877754145,0.1570056995806386,-0.018038950803097142,-0.8483710616659503,-0.8466730434339182,-0.2695471564549695,0.27099342729891085,0.9956009823523676,0.03668291959335842
XLK_2X,ROM,2007-02-01,2026-07-01,19.376984126984127,0.2304222818374997,0.2462491898672876,-0.015826908029787923,-0.8298625836460751,-0.8335801084392578,-0.2193719735685148,0.34366192138503326,0.978031306133983,0.09969612161155998
