Window,Start Date,End Date,Years,QQQ CAGR,3x QQQ CAGR (Naive),Daily 3x Gross CAGR,Volatility Drag vs Naive 3x,Cost Model 3x CAGR,Cost Drag vs Gross Daily 3x,TQQQ-like CAGR,TQQQ-like CAGR Gap vs QQQ,Real TQQQ CAGR,Real TQQQ Gap vs Cost Model,QQQ Max Drawdown,Daily 3x Gross Max Drawdown,Cost Model 3x Max Drawdown,TQQQ-like Max Drawdown,Real TQQQ Max Drawdown
Long simulation from requested 1970 start,1971-02-05,2026-07-01,55.42063492063492,0.12974418334690307,0.3892325500407092,0.2317878521635235,-0.15744469787718574,0.06392245844083999,-0.1678653937226835,0.07317308083296736,-0.05657110251393571,,,-0.8296389518305118,-0.9995638516715504,-0.9998406309230043,-0.9998406309230043,
Real TQQQ overlap,2010-02-11,2026-07-01,16.349206349206348,0.19792007557239666,0.59376022671719,0.5093357320573018,-0.08442449465988822,0.3955993489101508,-0.11373638314715095,0.4371620126163889,0.23924193704399221,0.4371620126163889,0.04156266370623807,-0.351187199573058,-0.8029185783788528,-0.8192435990081902,-0.8165984736660451,-0.8165984736660451
