Window,Series,Start Date,End Date,Years,Total Return,CAGR,Max Drawdown,Volatility,Worst Daily Return,Final Multiple
Long simulation from requested 1970 start,QQQ,1971-02-05,2026-07-01,55.42063492063492,862.3592670463739,0.12974418334690307,-0.8296389518305118,0.22767416818144762,-0.15077616397122606,863.3592670463739
Long simulation from requested 1970 start,QQQ Daily 3x Gross,1971-02-05,2026-07-01,55.42063492063492,104124.71371082694,0.2317878521635235,-0.9995638516715504,0.683022504544343,-0.4523284919136783,104125.71371082694
Long simulation from requested 1970 start,QQQ Daily 3x Cost Model,1971-02-05,2026-07-01,55.42063492063492,30.000449148981748,0.06392245844083999,-0.9998406309230043,0.6830941197746123,-0.4531003173105036,31.000449148981748
Long simulation from requested 1970 start,TQQQ-like Stitched,1971-02-05,2026-07-01,55.42063492063492,49.088514226777576,0.07317308083296736,-0.9998406309230043,0.6809154715458134,-0.4531003173105036,50.088514226777576
Real TQQQ overlap,QQQ,2010-02-11,2026-07-01,16.349206349206348,18.15283166745102,0.19792007557239666,-0.351187199573058,0.20659775938489222,-0.1197878715408438,19.15283166745102
Real TQQQ overlap,QQQ Daily 3x Gross,2010-02-11,2026-07-01,16.349206349206348,836.5424227598531,0.5093357320573018,-0.8029185783788528,0.6197932781546767,-0.3593636146225314,837.5424227598531
Real TQQQ overlap,QQQ Daily 3x Cost Model,2010-02-11,2026-07-01,16.349206349206348,231.6609550508467,0.3955993489101508,-0.8192435990081902,0.619775942270918,-0.35957750351142026,232.6609550508467
Real TQQQ overlap,Real TQQQ,2010-02-11,2026-07-01,16.349206349206348,374.9184746348352,0.4371620126163889,-0.8165984736660451,0.6115562787760918,-0.34465165278835375,375.9184746348352
Real TQQQ overlap,TQQQ-like Stitched,2010-02-11,2026-07-01,16.349206349206348,374.9184746348352,0.4371620126163889,-0.8165984736660451,0.6115562787760919,-0.34465165278835375,375.9184746348352
